,amplitude,tstep,vfp
0,0.0100139956921,4183,82
1,0.0100424168631,4184,82
2,0.0100704347715,4185,82
3,0.0100980503485,4186,82
4,0.0101117063314,4187,82
5,0.0101387184113,4188,82
6,0.0101653262973,4189,82
7,0.010178479366,4190,82
8,0.0102173322812,4191,82
9,0.0102427303791,4192,82
10,0.0102677261457,4193,82
11,0.0102923186496,4194,82
12,0.0103165088221,4195,82
13,0.0103284530342,4196,82
14,0.010352040641,4197,82
15,0.0103866672143,4198,82
16,0.0104092517868,4199,82
17,0.0104203941301,4200,82
18,0.0104532204568,4201,82
19,0.0104639632627,4202,82
20,0.0104851508513,4203,82
21,0.010495595634,4204,82
22,0.0105263348669,4205,82
23,0.0105363829061,4206,82
24,0.0105561828241,4207,82
25,0.0105851441622,4208,82
26,0.0106039624661,4209,82
27,0.0106223896146,4210,82
28,0.0106404265389,4211,82
29,0.0106580741704,4212,82
30,0.0106667531654,4213,82
31,0.010692210868,4214,82
32,0.0107087017968,4215,82
33,0.0107248099521,4216,82
34,0.010732720606,4217,82
35,0.0107482578605,4218,82
36,0.0107558835298,4219,82
37,0.0107781952247,4220,82
38,0.010792599991,4221,82
39,0.01079966221,4222,82
40,0.0108202900738,4223,82
41,0.0108269797638,4224,82
42,0.0108464956284,4225,82
43,0.010859047994,4226,82
44,0.0108712362126,4227,82
45,0.0108771938831,4228,82
46,0.0108945248649,4229,82
47,0.0109056299552,4230,82
48,0.0109163774177,4231,82
49,0.0109216179699,4232,82
50,0.0109318345785,4233,82
51,0.0109416991472,4234,82
52,0.0109512135386,4235,82
53,0.0109603805467,4236,82
54,0.0109692011029,4237,82
55,0.0109776780009,4238,82
56,0.0109858131036,4239,82
57,0.0109897535294,4240,82
58,0.0110010681674,4241,82
59,0.0110046723858,4242,82
60,0.0110149821267,4243,82
61,0.01102144178,4244,82
62,0.0110275717452,4245,82
63,0.0110333757475,4246,82
64,0.0110361557454,4247,82
65,0.0110414735973,4248,82
66,0.0110464701429,4249,82
67,0.0110511481762,4250,82
68,0.0110533675179,4251,82
69,0.0110575705767,4252,82
70,0.0110614588484,4253,82
71,0.0110650351271,4254,82
72,0.0110683012754,4255,82
73,0.0110712600872,4256,82
74,0.0110739124939,4257,82
75,0.0110762612894,4258,82
76,0.0110783092678,4259,82
77,0.0110808182508,4260,82
78,0.0110821183771,4261,82
79,0.0110826585442,4262,82
80,0.0110835172236,4263,82
81,0.0110840834677,4264,82
82,0.0110843600705,4265,82
83,0.0110843898728,4266,82
84,0.0110840480775,4267,82
85,0.0110837919638,4268,82
86,0.0110830655321,4269,82
87,0.0110820569098,4270,82
88,0.0110807679594,4271,82
89,0.0110783111304,4272,82
90,0.011076326482,4273,82
91,0.0110752312467,4274,82
92,0.0110728349537,4275,82
93,0.0110687296838,4276,82
94,0.011065652594,4277,82
95,0.0110640134662,4278,82
96,0.0110605340451,4279,82
97,0.0110567864031,4280,82
98,0.0110548129305,4281,82
99,0.0110484948382,4282,82
100,0.011043952778,4283,82
101,0.0110415834934,4284,82
102,0.0110340826213,4285,82
103,0.0110287573189,4286,82
104,0.0110231721774,4287,82
105,0.0110202822834,4288,82
106,0.011011227034,4289,82
107,0.0110048698261,4290,82
108,0.0110015962273,4291,82
109,0.0109913917258,4292,82
110,0.0109878629446,4293,82
111,0.0109806163236,4294,82
112,0.0109731173143,4295,82
113,0.010969273746,4296,82
114,0.0109573667869,4297,82
115,0.0109491143376,4298,82
116,0.0109406122938,4299,82
117,0.0109318615869,4300,82
118,0.0109273921698,4301,82
119,0.0109136132523,4302,82
120,0.0109088961035,4303,82
121,0.0108992764726,4304,82
122,0.0108894109726,4305,82
123,0.0108741493896,4306,82
124,0.0108636682853,4307,82
125,0.0108583355322,4308,82
126,0.0108474856243,4309,82
127,0.0108363898471,4310,82
128,0.0108250500634,4311,82
129,0.0108134662732,4312,82
130,0.0108016366139,4313,82
131,0.0107895620167,4314,82
132,0.0107772452757,4315,82
133,0.0107709942386,4316,82
134,0.0107518788427,4317,82
135,0.0107388310134,4318,82
136,0.0107322148979,4319,82
137,0.010712002404,4320,82
138,0.0106982244179,4321,82
139,0.0106842024252,4322,82
140,0.0106771001592,4323,82
141,0.0106627140194,4324,82
142,0.0106480838731,4325,82
143,0.010640677996,4326,82
144,0.0106256855652,4327,82
145,0.0106027405709,4328,82
146,0.0105949705467,4329,82
147,0.0105792498216,4330,82
148,0.0105552142486,4331,82
149,0.0105388881639,4332,82
150,0.0105223190039,4333,82
151,0.0105055077001,4334,82
152,0.0104970121756,4335,82
153,0.0104711595923,4336,82
154,0.0104536237195,4337,82
155,0.0104358475655,4338,82
156,0.0104268686846,4339,82
157,0.0104178292677,4340,82
158,0.0103903505951,4341,82
159,0.0103717297316,4342,82
160,0.0103528676555,4343,82
161,0.0103433476761,4344,82
162,0.0103144263849,4345,82
163,0.0102948462591,4346,82
164,0.010275025852,4347,82
165,0.0102549679577,4348,82
166,0.0102346707135,4349,82
167,0.0102244326845,4350,82
168,0.0101933646947,4351,82
169,0.0101828901097,4352,82
170,0.0101511124521,4353,82
171,0.0101404022425,4354,82
172,0.0101296333596,4355,82
173,0.0100969746709,4356,82
174,0.0100859710947,4357,82
175,0.0100526120514,4358,82
176,0.0100413756445,4359,82
177,0.0100073199719,4360,82
178,-0.0100186215714,4849,82
179,-0.010136728175,4850,82
180,-0.0102146975696,4851,82
181,-0.0102920411155,4852,82
182,-0.0103304749355,4853,82
183,-0.0104068629444,4854,82
184,-0.0104826018214,4855,82
185,-0.0105202253908,4856,82
186,-0.0106321014464,4857,82
